country,segment,sales_rep_id,sales_team_name,jobs_90d,rev_per_job,revenue_90d,pqr_90d
US,NAM,15621,US-NAM-SA-RMT-3,394520,1.0,397601.7,329890.1
US,NAM,15655,US-NAM-HC-RMT-1,118711,1.1,136064.0,160998.0
US,NAM,16058,US-NAM-RPO-RMT-1,122880,1.8,218814.3,201050.7
US,NAM,16303,US-NAM-PSE-RMT-1,6622,58.4,386605.2,285980.2
US,NAM,16305,US-NAM-HC-RMT-7,126680,0.5,60107.1,88199.3
US,NAM,16306,US-NAM-LTL-RMT-7,45255,7.4,333966.7,213584.0
US,NAM,16307,US-NAM-SA-RMT-4,71589,0.6,46320.3,22338.2
US,NAM,16382,US-NAM-PSE-RMT-2,14719,9.2,135846.2,101098.3
US,NAM,16707,US-NAM-LTL-RMT-4,87194,2.4,213176.8,181131.6
US,NAM,16995,US-NAM-LTL-RMT-3,30045,12.2,365491.8,212650.9
US,NAM,17283,US-NAM-LTL-RMT-1,26466,59.6,1578458.6,783388.1
US,NAM,17349,US-NAM-HC-RMT-5,78414,0.5,38472.8,21761.4
US,NAM,17531,US-NAM-RHMS-RMT-1,163275,1.2,203838.5,178415.0
US,NAM,17547,US-NAM-HC-RMT-1,65119,0.8,52752.3,32672.2
US,NAM,17749,US-NAM-HC-RMT-3,71903,1.5,106774.2,73304.4
US,NAM,17822,US-NAM-LTL-RMT-1,27276,106.1,2894087.2,1667406.6
US,NAM,18326,US-NAM-PSE-RMT-1,65290,18.9,1234659.7,3120826.9
US,NAM,18501,US-NAM-RHMS-RMT-6,162546,0.6,89509.4,88421.8
US,NAM,18700,US-NAM-HC-RMT-6,163950,0.7,121353.7,111669.2
US,NAM,18722,US-NAM-PSE-RMT-3,14759,10.6,157070.6,201276.8
US,NAM,18784,US-NAM-HC-RMT-1,101540,17.5,1777017.8,1670015.7
US,NAM,19007,US-NAM-HC-RMT-5,43418,2.9,127136.1,129731.9
US,NAM,19169,US-NAM-LTL-RMT-4,328575,0.8,261447.9,174087.8
US,NAM,19174,US-NAM-PSE-RMT-ACC-1,53989,2.5,135140.1,54458.8
US,NAM,19176,US-NAM-SA-RMT-2,26243,2.2,57603.5,39286.3
US,NAM,19641,US-NAM-LTL-RMT-6,91800,3.1,288432.2,227737.3
US,NAM,19656,US-NAM-HC-RMT-2,81527,1.8,146339.8,135099.1
US,NAM,19834,US-NAM-PSE-RMT-1,21717,5.1,109780.8,78494.7
US,NAM,19863,US-NAM-LTL-RMT-2,33706,1.9,65612.8,78376.8
US,NAM,19890,US-NAM-HC-RMT-3,85440,1.5,131471.1,80685.0
US,NAM,20308,US-NAM-RHMS-RMT-5,139369,1.1,157580.8,134881.0
US,NAM,21305,US-NAM-HC-RMT-7,45811,5.2,240157.5,240466.7
US,NAM,23206,US-NAM-RHMS-RMT-4,168868,1.3,218782.8,137026.6
US,NAM,23446,US-NAM-RHMS-RMT-3,57443,5.9,338178.2,256167.4
US,NAM,23715,US-NAM-LTL-RMT-4,86294,5.8,504320.2,443835.5
US,NAM,23721,US-NAM-HC-RMT-2,59510,5.1,303568.7,271705.4
US,NAM,23723,US-NAM-SA-RMT-5,51427,1.8,91184.0,56543.3
US,NAM,23727,US-NAM-LTL-RMT-7,123254,2.2,273060.2,195102.7
US,NAM,23787,US-NAM-RHMS-RMT-4,117935,3.4,403546.0,303333.4
US,NAM,23788,US-NAM-HC-RMT-6,29302,13.6,398170.3,131794.5
US,NAM,23790,US-NAM-LTL-RMT-5,81057,2.3,184163.8,152226.5
US,NAM,23792,US-NAM-LTL-RMT-8,44823,3.1,139506.0,110397.6
US,NAM,23980,US-NAM-HC-RMT-6,63171,1.7,108392.3,84779.3
US,NAM,24095,US-NAM-RHMS-RMT-4,48657,9.2,446300.5,372045.4
US,NAM,24658,US-NAM-RHMS-RMT-7,90041,5.8,520035.4,394568.4
US,NAM,25613,US-NAM-PSE-RMT-2,8201,17.6,143970.9,116328.9
