country,segment,sales_rep_id,sales_team_name,pcid_count,impact_calls_90d,impact_calls_per_account,segment_avg_coverage,too_big
BNL,NAMDCA,16586,NL-NAMDCA-DE-AMS-1,21,28,1,1.0,false
BR,M,8152,BR-M-DE-SAO-1,150,0,0,0.17,true
BR,M,28881,BR-M-SA-SAO-1,114,184,1,0.17,false
BR,M,39738,BR-M-SA-SAO-1,132,11,0,0.17,true
BR,M,40197,BR-M-SA-SAO-1,93,4,0,0.17,false
BR,M,41946,BR-M-DE-SAO-1,142,1,0,0.17,true
BR,M,42830,BR-M-DE-SAO-1,137,39,0,0.17,true
BR,NAM,6425,BR-NAM-DE-SAO-1,34,0,0,0.0,false
BR,NAM,14913,BR-NAM-DE-SAO-1,41,0,0,0.0,false
BR,NAM,29156,BR-NAM-DE-SAO-1,44,5,0,0.0,false
BR,NAM,42815,BR-NAM-DE-SAO-1,39,0,0,0.0,false
CA,ACC,7771,CA-NAM-ACCDE-TOR-1,36,0,0,0.0,false
CA,ACC,9566,CA-NAM-ACCDE-WEST-1,39,2,0,0.0,false
CA,ACC,10081,CA-NAM-ACCDE-WEST-1,43,0,0,0.0,false
CA,ACC,31663,CA-NAM-ACCDE-TOR-1,57,0,0,0.0,false
CA,L,6843,CA-L-DE-TOR-1,37,83,2,1.67,false
CA,L,9082,CA-L-DE-TOR-1,35,57,1,1.67,true
CA,L,12154,CA-L-DE-TOR-1,36,83,2,1.67,false
CA,L,13215,CA-L-DE-TOR-1,34,71,2,1.67,false
CA,L,13566,CA-L-DE-TOR-1,38,72,1,1.67,false
CA,L,13568,CA-L-DE-TOR-1,38,84,2,1.67,false
CA,L,14488,CA-L-DE-TOR-1,36,53,1,1.67,true
CA,L,16319,CA-L-DE-TOR-1,36,75,2,1.67,false
CA,L,18922,CA-L-SA-TOR-1,47,103,2,1.67,false
CA,L,19536,CA-L-SA-TOR-1,42,76,1,1.67,true
CA,L,19589,CA-L-SA-TOR-1,47,131,2,1.67,false
CA,L,21019,CA-L-DE-TOR-1,36,107,2,1.67,false
CA,M,1855,CA-M-DE-TOR-1,108,144,1,0.72,false
CA,M,3141,CA-M-DE-TOR-4,110,119,1,0.72,false
