country,segment,sales_rep_id,team,pcid_count,revenue_90d,pqr_90d,rev_growth_pct,jobs_90d,rev_per_job,impact_calls_90d,impact_coverage
BNL,NAMDCA,16586,NL-NAMDCA-DE-AMS-1,21,148781.5,89531.6,0.7,47523,3.1,28,1
BR,M,8152,BR-M-DE-SAO-1,150,59866.8,40726.3,0.5,45768,1.3,0,0
BR,M,28881,BR-M-SA-SAO-1,114,37041.9,23626.6,0.6,248097,0.1,184,1
BR,M,39738,BR-M-SA-SAO-1,132,39718.5,40210.7,0.0,21758,1.8,11,0
BR,M,40197,BR-M-SA-SAO-1,93,19903.0,13838.8,0.4,482878,0.0,4,0
BR,M,41946,BR-M-DE-SAO-1,142,68579.6,61780.7,0.1,469746,0.1,1,0
BR,M,42830,BR-M-DE-SAO-1,137,45105.4,42197.8,0.1,84192,0.5,39,0
BR,NAM,6425,BR-NAM-DE-SAO-1,34,554393.6,144407.8,1.0,194474,2.9,0,0
BR,NAM,14913,BR-NAM-DE-SAO-1,41,10812.4,6506.0,0.7,46095,0.2,0,0
BR,NAM,29156,BR-NAM-DE-SAO-1,44,24722.4,10222.7,1.0,69926,0.4,5,0
BR,NAM,42815,BR-NAM-DE-SAO-1,39,6153.1,5135.6,0.2,40652,0.2,0,0
CA,ACC,7771,CA-NAM-ACCDE-TOR-1,36,98839.3,64965.4,0.5,59559,1.7,0,0
CA,ACC,9566,CA-NAM-ACCDE-WEST-1,39,141566.3,135465.7,0.0,71633,2.0,2,0
CA,ACC,10081,CA-NAM-ACCDE-WEST-1,43,199144.2,167469.9,0.2,49000,4.1,0,0
CA,ACC,31663,CA-NAM-ACCDE-TOR-1,57,104793.3,79445.0,0.3,39267,2.7,0,0
CA,L,6843,CA-L-DE-TOR-1,37,193059.7,152401.1,0.3,16090,12.0,83,2
CA,L,9082,CA-L-DE-TOR-1,35,277022.4,198057.9,0.4,18132,15.3,57,1
CA,L,12154,CA-L-DE-TOR-1,36,151815.7,140588.1,0.1,28474,5.3,83,2
CA,L,13215,CA-L-DE-TOR-1,34,57829.6,39878.3,0.5,19296,3.0,71,2
CA,L,13566,CA-L-DE-TOR-1,38,131094.1,86947.6,0.5,23825,5.5,72,1
CA,L,13568,CA-L-DE-TOR-1,38,249632.2,239583.5,0.0,24627,10.1,84,2
CA,L,14488,CA-L-DE-TOR-1,36,370715.4,280218.7,0.3,26850,13.8,53,1
CA,L,16319,CA-L-DE-TOR-1,36,224580.2,173081.3,0.3,23889,9.4,75,2
CA,L,18922,CA-L-SA-TOR-1,47,93441.3,65597.8,0.4,23506,4.0,103,2
CA,L,19536,CA-L-SA-TOR-1,42,71851.1,49923.6,0.4,189056,0.4,76,1
CA,L,19589,CA-L-SA-TOR-1,47,170136.5,137132.7,0.2,27351,6.2,131,2
CA,L,21019,CA-L-DE-TOR-1,36,148577.9,146849.7,0.0,28305,5.2,107,2
CA,M,1855,CA-M-DE-TOR-1,108,263858.1,196152.6,0.3,8468,31.2,144,1
CA,M,3141,CA-M-DE-TOR-4,110,222085.7,197275.6,0.1,7277,30.5,119,1
CA,M,6316,CA-M-DE-TOR-2,101,248590.3,171086.6,0.5,6747,36.8,164,1
CA,M,8381,CA-M-DE-TOR-1,107,214729.7,199656.5,0.1,7071,30.4,160,1
CA,M,9085,CA-M-DE-TOR-1,101,202067.8,138975.1,0.5,7030,28.7,150,1
CA,M,9401,CA-M-DE-TOR-2,109,261020.4,192721.0,0.4,6959,37.5,168,1
CA,M,9973,CA-M-DE-TOR-2,109,314243.5,268641.7,0.2,8418,37.3,179,1
CA,M,11152,CA-M-DE-TOR-4,105,353039.7,296396.2,0.2,8100,43.6,153,1
CA,M,12156,CA-M-DE-TOR-1,106,268573.2,233353.0,0.2,6667,40.3,148,1
CA,M,13561,CA-M-DE-MTL-1,92,398743.5,292656.4,0.4,14722,27.1,84,0
CA,M,13570,CA-M-ACC-TOR-1,200,67427.7,31331.9,1.0,22615,3.0,69,0
CA,M,14890,CA-M-DE-TOR-1,109,331600.9,250074.7,0.3,7343,45.2,169,1
CA,M,14892,CA-M-DE-TOR-4,111,336773.6,243195.3,0.4,9077,37.1,150,1
CA,M,16354,CA-M-DE-MTL-2,95,367550.1,332633.6,0.1,15402,23.9,115,1
CA,M,16715,CA-M-DE-TOR-4,101,215029.1,175055.6,0.2,10738,20.0,73,0
CA,M,17256,CA-M-DE-TOR-4,108,388528.3,322628.3,0.2,16138,24.1,127,1
CA,M,18928,CA-M-DE-MTL-2,105,281045.2,237349.6,0.2,16406,17.1,20,0
CA,M,19002,CA-M-DE-MTL-1,102,385681.2,351374.2,0.1,24338,15.8,120,1
CA,M,19359,CA-M-DE-TOR-1,108,232754.8,189253.5,0.2,12584,18.5,142,1
CA,M,19535,CA-M-DE-TOR-4,109,285648.1,239756.5,0.2,6678,42.8,99,0
CA,M,19549,CA-M-DE-TOR-4,113,321269.1,266193.9,0.2,7958,40.4,150,1
CA,M,22888,CA-M-SA-TOR-1,71,160083.1,120767.0,0.3,10079,15.9,180,2
CA,M,23442,CA-M-DE-TOR-2,109,327415.9,264028.7,0.2,11357,28.8,146,1
CA,M,23981,CA-M-DE-TOR-1,110,265665.0,230662.0,0.2,7081,37.5,168,1
CA,M,24622,CA-M-DE-TOR-2,104,277095.7,206714.8,0.3,7237,38.3,89,0
CA,M,26765,CA-M-DE-TOR-2,108,341986.8,295153.0,0.2,8521,40.1,195,1
CA,M,28681,CA-M-DE-MTL-2,102,408422.8,314888.1,0.3,13729,29.7,105,1
CA,M,28897,CA-M-DE-TOR-4,103,268241.6,214710.3,0.2,7741,34.7,156,1
CA,M,29046,CA-M-DE-TOR-2,104,272826.4,270562.5,0.0,7040,38.8,114,1
CA,M,29094,CA-M-ACC-TOR-1,195,60669.0,29605.6,1.0,35090,1.7,123,0
CA,M,30207,CA-M-ACC-TOR-1,194,85330.6,28478.9,1.0,22226,3.8,79,0
CA,M,30235,CA-M-ACC-TOR-1,192,63930.7,35905.9,0.8,22624,2.8,95,0
CA,M,30251,CA-M-DE-TOR-4,110,295855.8,272061.7,0.1,7811,37.9,166,1
CA,M,30945,CA-M-DE-MTL-1,96,306816.6,250000.8,0.2,17721,17.3,92,0
CA,M,31197,CA-M-DE-TOR-2,110,303389.0,249990.7,0.2,7050,43.0,135,1
CA,M,31712,CA-M-SA-TOR-1,67,125075.5,97628.3,0.3,17527,7.1,152,2
CA,M,31714,CA-M-DE-TOR-2,108,370439.7,295234.0,0.3,8154,45.4,171,1
CA,M,31789,CA-M-DE-MTL-2,99,456907.7,367549.2,0.2,20066,22.8,87,0
CA,M,32085,CA-M-ACC-TOR-1,186,81874.3,29723.7,1.0,22295,3.7,141,0
CA,M,32867,CA-M-DE-MTL-1,99,342443.4,291831.0,0.2,17597,19.5,89,0
CA,M,33605,CA-M-ACC-TOR-1,192,42367.5,30060.5,0.4,47228,0.9,89,0
CA,M,33712,CA-M-DE-MTL-2,93,278872.4,230342.4,0.2,19107,14.6,81,0
CA,M,35195,CA-M-SA-TOR-1,63,100158.5,89510.4,0.1,13114,7.6,168,2
CA,M,38275,CA-M-DE-MTL-2,87,291583.9,218273.8,0.3,12410,23.5,76,0
CA,M,39535,CA-M-DE-TOR-1,106,245767.7,233733.6,0.1,12960,19.0,152,1
CA,M,44450,CA-M-DE-TOR-2,105,402992.4,316379.0,0.3,6571,61.3,173,1
CA,NAM,1778,CA-NAM-B2B-TOR-2,11,54733.6,24774.2,1.0,24690,2.2,0,0
CA,NAM,2277,CA-NAM-B2B-TOR-2,13,125911.1,76275.5,0.7,72194,1.7,0,0
CA,NAM,2336,CA-NAM-DE-MTL-1,8,256482.6,149407.6,0.7,54840,4.7,0,0
CA,NAM,3143,CA-NAM-SA-TOR-1,20,122733.0,85730.1,0.4,76088,1.6,0,0
CA,NAM,3771,CA-NAM-B2B-TOR-1,10,115505.3,50554.7,1.0,94684,1.2,0,0
CA,NAM,3773,CA-NAM-DE-MTL-1,17,86439.6,105478.8,-0.2,31605,2.7,1,0
CA,NAM,4789,CA-NAM-B2B-TOR-2,10,279674.2,155659.7,0.8,93787,3.0,0,0
CA,NAM,5374,CA-NAM-DE-MTL-1,15,131341.2,66487.4,1.0,68044,1.9,0,0
CA,NAM,5774,CA-NAM-B2B-TOR-1,13,101247.8,108312.2,-0.1,60719,1.7,2,0
CA,NAM,6313,CA-NAM-B2B-TOR-1,11,202383.8,179210.6,0.1,31140,6.5,0,0
CA,NAM,6314,CA-NAM-HC-TOR-1,35,73574.0,41108.4,0.8,47237,1.6,0,0
CA,NAM,8414,CA-NAM-DE-MTL-1,11,197000.4,213011.7,-0.1,42949,4.6,0,0
CA,NAM,11030,CA-NAM-B2B-WEST-1,14,98231.7,120415.3,-0.2,44158,2.2,0,0
CA,NAM,16304,CA-NAM-DE-MTL-1,15,79281.4,74116.4,0.1,61702,1.3,0,0
CA,NAM,16724,CA-NAM-B2B-WEST-1,15,145951.9,114191.1,0.3,31160,4.7,0,0
CA,NAM,18206,CA-NAM-B2B-WEST-1,16,190470.6,145755.6,0.3,35002,5.4,0,0
CA,NAM,18698,CA-NAM-B2B-WEST-1,11,198530.4,114538.0,0.7,9749,20.4,0,0
CA,NAM,18953,CA-NAM-DE-MTL-1,16,69472.0,85671.7,-0.2,162594,0.4,0,0
CA,NAM,18956,CA-NAM-DE-MTL-1,15,208164.4,156848.8,0.3,38233,5.4,0,0
CA,NAM,24466,CA-NAM-B2B-WEST-1,13,377319.2,289810.6,0.3,24327,15.5,0,0
CA,NAM,31293,CA-NAM-B2B-TOR-2,12,203870.2,242679.7,-0.2,30020,6.8,0,0
CA,UMM,1974,CA-MUpper-DE-TOR-1,47,166848.1,109715.8,0.5,11337,14.7,37,0
CA,UMM,6087,CA-MUpper-DE-TOR-1,49,285382.2,224070.3,0.3,8762,32.6,94,1
CA,UMM,6476,CA-MUpper-DE-TOR-1,51,155029.6,118356.9,0.3,10953,14.2,104,2
CA,UMM,14487,CA-MUpper-DE-TOR-1,44,175874.1,117394.9,0.5,8503,20.7,41,0
CA,UMM,15982,CA-MUpper-DE-TOR-1,47,167252.5,137196.0,0.2,8453,19.8,112,2
CA,UMM,18224,CA-MUpper-DE-TOR-1,46,235335.8,140526.8,0.7,7616,30.9,92,2
CA,UMM,23978,CA-MUpper-DE-TOR-1,44,171860.9,132151.7,0.3,10480,16.4,64,1
CA,UMM,25985,CA-MUpper-DE-TOR-1,47,163053.6,131257.0,0.2,8200,19.9,81,1
